,title,price,source,product_link,thumbnail,rating,reviews
14,The Indian Garage Co. Men's Abstract Crew Neck T-shirt,₹249,Myntra,https://www.google.com/shopping/product/6630763228465676455?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcShC9CmnuazQKZnAu717mN3BQqKCsrgbKHmbQEZ28LMqSb-lia7djGHAAL9qzmGTertt5BY07Tsu_WsWRO6Rzt1MnKsBP9p0PZw_kwZAtABLCbUf1XTslOo,4.0,4.0
15,INTO THE AMGraphic Tees for Men S 4XL Premium Short Sleeve Colorful T-Shirts Trippy Space Designs,"₹3,735",desertcart.in,https://www.google.com/shopping/product/6254072988307209952?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTBh9jzcsMYvCVAAVrxSjEnNo1HzIrggLFuAqLuGE18pSZDhSmEoKNpwPH11DCfkc1aDZ5PS8GMyzZYWGCDOXOSzi8epPYdxdyT6Ncja6B5tpyZM1gygSIDxQ,5.0,1.0
16,HRX by Hrithik Roshan Men's Printed T-shirt,₹419,Myntra,https://www.google.com/shopping/product/11874378344907449036?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRLjBzZf_ZxxToHcy7-SRolt0WDeVVxgFLeP0-8KZOkQv9sMImtogiN44Sr6OJ5bKTiEXH02-7nIegk8pwf3igeDWvoUNj2Uaiph_2lMy1VjihRXMGWViPn,3.4,14.0
17,Bewakoof Men's Hangin Astronaut Graphic Printed Oversized T-shirt,₹529,Bewakoof.com,https://www.google.com/shopping/product/17831283377103826002?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcREGRuy317usDojjayRcns0VjvC41Uw_5-5LQGqbGnHxKWeCAYStwaVHIRVIVKcipKBxr3ODplHw2TxIOf1elxT9b4ZKytQz8vv2Xngvgt2aacsR9aikvx-,5.0,7.0
18,Men H&M White/Puerto Vallarta Loose Fit Printed T-shirt,"₹1,299",H&M,https://www.google.com/shopping/product/15585187044149957786?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSzgUig1500yrNltYiyxr14GjculVe0WhdIteI0A9_ORkASnZ3kXo_Re2Sp1wSbZzedfTUdX_s7XMpTg9SMxFzjm400N5m2oaPKj9vIC_wvuMMGoLMpLem8,4.8,41.0
19,The Souled Store Men's Colorblock Round Neck T-Shirt,₹949,Myntra,https://www.google.com/shopping/product/9296243442353647142?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQolPkfO06ZOog-2AqthzWSxow-Vdc4UbwbsOrjwqckzqyW81UJ3IWrYDP0oEswXhnlyW7yZqDU1jrhv3GxlwgqhKIM8LMLF8_arg-q2NVHP07K6OKwKKhf,4.5,8.0
20,The Souled Store Men's Peanuts Favourite Dog Printed T-Shirt,₹549,The Souled Store,https://www.google.com/shopping/product/16111255037058799678?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRXbjclI4_1BUGM1eag4wIOEIKkF8onn4AyVb3dDw3tCrOtRTniHwyRInzzrKcjFZuo7tctdtpgb6VIgo0oV5fW9l7RSfZIvTkcFJ7JSyrQx5GtHcHk7_pbLw,4.6,8.0
21,THE BEAR HOUSE Mens Multi-Color Floral Pattern Slim Fit Polo Collar T-Shirt (S) At Nykaa Fashion - Your Online Shopping Store,₹875,Nykaa Fashion,https://www.google.com/shopping/product/1?gl=in&prds=pid:10312194383391700603,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSzGz59iV_LSP2nD9gh7Gt6xzHtaw42wCrvIFWiLBqKmETyuxOyyg-KilUtSDWZYhUk3G41TK5pTlysSq0KflHNUrY4Y7TWVAZi5-UGgMN-ABC-9zcxEeqR,4.4,5.0
22,Allen Solly Men's Patterned Half Sleeves Polo Neck T-Shirt,₹899,Allen Solly,https://www.google.com/shopping/product/2548466563860599445?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTXQtwdfj7vQf3OWD9ylnUHOvSQ441hHx7z15SfpLoW36fhiqLdvQkHME7SAPlYXozAdKXUo78-OLCvJj3A2VT4DUtzyxwI_FK78RHL8hAM22gujQNeltLH,4.7,7.0
23,The Souled Store Men's Striped Printed Shirt,"₹1,399",Myntra,https://www.google.com/shopping/product/16835237131437238378?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ7lCsHHlBldlLvWbuyue0o3DTvvTLBJ5jQCIH7xtb0LNwNerDKgUDfHn2riz8C_wGlTeU5blh8va7eeC3iV6uO-CZ3aXi06BvzcV4JjMaOz2xAbPzPR4NCig,4.9,28.0
